Source,Target,Relationship,PublicationYear
10.1145/3543873.3587570,10.18653/v1/D19-1371,CITES,2019
10.18653/v1/D19-1371,10.18653/v1/W19-1909,CITES,2019
10.18653/v1/D19-1371,10.18653/v1/N19-1361,CITES,2019
10.18653/v1/D19-1371,10.18653/v1/W19-5034,CITES,2019
10.18653/v1/D19-1371,10.1093/bioinformatics/btz682,CITES,2019
10.18653/v1/D19-1371,10.1186/s12859-019-2813-6,CITES,2018
10.18653/v1/D19-1371,10.18653/v1/D18-1360,CITES,2018
10.18653/v1/D19-1371,10.1186/s12859-019-2604-0,CITES,2018
10.18653/v1/D19-1371,10.1162/tacl_a_00028,CITES,2018
10.18653/v1/D19-1371,10.18653/v1/P18-1019,CITES,2018
10.18653/v1/D19-1371,10.18653/v1/N18-3011,CITES,2018
10.18653/v1/D19-1371,10.18653/v1/W18-2501,CITES,2018
10.18653/v1/D19-1371,10.18653/v1/N18-1202,CITES,2018
10.18653/v1/D19-1371,10.18653/v1/P18-1031,CITES,2018
10.18653/v1/D19-1371,10.18653/v1/D17-1035,CITES,2017
10.18653/v1/D19-1371,10.1093/database/baw068,CITES,2016
10.18653/v1/D19-1371,10.1038/sdata.2016.35,CITES,2016
10.18653/v1/D19-1371,10.18653/v1/P16-1101,CITES,2016
10.18653/v1/D19-1371,10.1093/database/bav123,CITES,2016
10.18653/v1/D19-1371,10.1145/2740908.2742839,CITES,2015
10.18653/v1/D19-1371,10.1016/j.jbi.2013.12.006,CITES,2014
10.18653/v1/D19-1371,10.1186/1471-2105-12-S2-S5,CITES,2011
10.18653/v1/D19-1371,10.3115/1567594.1567610,CITES,2004
10.18653/v1/D19-1371,10.1093/BIOINFORMATICS/BTG1023,CITES,2003
10.18653/v1/D19-1371,10.18653/v1/N19-1423,CITES,2019
10.1145/3543873.3587570,10.1109/TKDE.2018.2807452,CITES,2018
10.1109/TKDE.2018.2807452,10.1609/aaai.v32i1.11885,CITES,2018
10.1109/TKDE.2018.2807452,10.1145/3178876.3186073,CITES,2018
10.1109/TKDE.2018.2807452,10.1109/TPAMI.2018.2839733,CITES,2018
10.1109/TKDE.2018.2807452,10.1109/TKDE.2017.2754499,CITES,2017
10.1109/TKDE.2018.2807452,10.1145/3132847.3132925,CITES,2017
10.1109/TKDE.2018.2807452,10.1109/ICDM.2017.57,CITES,2017
10.1109/TKDE.2018.2807452,10.24963/ijcai.2017/544,CITES,2017
10.1109/TKDE.2018.2807452,10.24963/ijcai.2017/472,CITES,2017
10.1109/TKDE.2018.2807452,10.1145/3097983.3098036,CITES,2017
10.1109/TKDE.2018.2807452,10.24963/ijcai.2017/361,CITES,2017
10.1109/TKDE.2018.2807452,10.1016/j.knosys.2018.03.022,CITES,2017
10.1109/TKDE.2018.2807452,10.1145/3097983.3098061,CITES,2017
10.1109/TKDE.2018.2807452,10.1145/3038912.3052558,CITES,2017
10.1109/TKDE.2018.2807452,10.1145/3038912.3052575,CITES,2017
10.1109/TKDE.2018.2807452,10.1145/3038912.3052601,CITES,2017
10.1109/TKDE.2018.2807452,10.1109/TKDE.2016.2632716,CITES,2017
10.1109/TKDE.2018.2807452,10.1109/TKDE.2016.2638425,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10839,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10814,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10878,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10999,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10951,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.11067,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10486,CITES,2017
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10488,CITES,2017
10.1109/TKDE.2018.2807452,10.1109/ICDM.2016.0111,CITES,2016
10.1109/TKDE.2018.2807452,10.1109/ICDM.2016.0072,CITES,2016
10.1109/TKDE.2018.2807452,10.1109/ICDM.2016.0090,CITES,2016
10.1109/TKDE.2018.2807452,10.1109/CVPR.2017.576,CITES,2016
10.1109/TKDE.2018.2807452,10.1109/MSP.2017.2693418,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/3038912.3052643,CITES,2016
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10677,CITES,2016
10.1109/TKDE.2018.2807452,10.24963/ijcai.2017/209,CITES,2016
10.1109/TKDE.2018.2807452,10.4236/IJCNS.2016.911041,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2964284.2967257,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2968219.2968416,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2939672.2939753,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2939672.2939673,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2939672.2939751,CITES,2016
10.1109/TKDE.2018.2807452,10.18653/v1/P16-1095,CITES,2016
10.1109/TKDE.2018.2807452,10.1109/IJCNN.2016.7727520,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2911451.2914740,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2939672.2939754,CITES,2016
10.1109/TKDE.2018.2807452,10.1007/s13735-016-0102-y,CITES,2016
10.1109/TKDE.2018.2807452,10.1016/j.neucom.2015.07.128,CITES,2016
10.1109/TKDE.2018.2807452,10.1609/aaai.v31i1.10952,CITES,2016
10.1109/TKDE.2018.2807452,10.1145/2939672.2939822,CITES,2016
10.1109/TKDE.2018.2807452,10.1609/aaai.v30i1.10179,CITES,2016
10.1109/TKDE.2018.2807452,10.1609/aaai.v30i1.9972,CITES,2016
10.1109/TKDE.2018.2807452,10.1609/aaai.v30i1.10089,CITES,2016
10.1109/TKDE.2018.2807452,10.1609/aaai.v30i1.10329,CITES,2016
10.1109/TKDE.2018.2807452,10.1109/TIP.2015.2507401,CITES,2016
10.1109/TKDE.2018.2807452,10.1109/ICCV.2015.486,CITES,2015
10.1109/TKDE.2018.2807452,10.1609/aaai.v30i1.10091,CITES,2015
10.1109/TKDE.2018.2807452,10.1145/2806416.2806512,CITES,2015
10.1109/TKDE.2018.2807452,10.1609/aaai.v30i1.10314,CITES,2015
10.1109/TKDE.2018.2807452,10.18653/v1/P16-1219,CITES,2015
10.1109/TKDE.2018.2807452,10.18653/v1/D15-1191,CITES,2015
10.1109/TKDE.2018.2807452,10.1145/2783258.2783296,CITES,2015
10.1109/TKDE.2018.2807452,10.1145/2783258.2783417,CITES,2015
10.1109/TKDE.2018.2807452,10.1145/2783258.2783341,CITES,2015
10.1109/TKDE.2018.2807452,10.1145/2783258.2783307,CITES,2015
10.1109/TKDE.2018.2807452,10.3115/v1/P15-1009,CITES,2015
10.1109/TKDE.2018.2807452,10.3115/v1/P15-1067,CITES,2015
10.1109/TKDE.2018.2807452,10.1109/TKDE.2014.2382599,CITES,2015
10.1109/TKDE.2018.2807452,10.1162/tacl_a_00134,CITES,2015
10.1109/TKDE.2018.2807452,10.1145/2736277.2741093,CITES,2015
10.1109/TKDE.2018.2807452,10.1609/aaai.v29i1.9491,CITES,2015
10.1109/TKDE.2018.2807452,10.1609/aaai.v29i1.9391,CITES,2015
10.1109/TKDE.2018.2807452,10.1109/ICDM.2014.119,CITES,2014
10.1109/TKDE.2018.2807452,10.5555/2685048.2685096,CITES,2014
10.1109/TKDE.2018.2807452,10.3115/v1/W14-4012,CITES,2014
10.1109/TKDE.2018.2807452,10.1609/aaai.v28i1.8954,CITES,2014
10.1109/TKDE.2018.2807452,10.1609/aaai.v28i1.8870,CITES,2014
10.1109/TKDE.2018.2807452,10.1609/aaai.v28i1.8916,CITES,2014
10.1109/TKDE.2018.2807452,10.1145/2588555.2610518,CITES,2014
10.1109/TKDE.2018.2807452,10.3115/v1/D14-1067,CITES,2014
