NodeID,PaperTitle,Type,Authors,PublicationYear,DOI
10.1145/3543873.3587570,Graph Embedding for Mapping Interdisciplinary Research Networks,Seed,"Eoghan Cunningham, Derek Greene",2023,10.1145/3543873.3587570
10.18653/v1/D19-1371,SciBERT: A Pretrained Language Model for Scientifc Text,Reference,"Iz Beltagy, Kyle Lo, and Arman Cohan",2019,10.18653/v1/D19-1371
10.18653/v1/W19-1909,Publicly Available Clinical BERT Embeddings,ReferenceOfReference,"['Emily Alsentzer', 'John R. Murphy', 'Willie Boag', 'W. Weng', 'Di Jin', 'Tristan Naumann', 'Matthew B. A. McDermott']",2019,10.18653/v1/W19-1909
10.18653/v1/N19-1361,Structural Scaffolds for Citation Intent Classification in Scientific Publications,ReferenceOfReference,"['Arman Cohan', 'Bridger Waleed Ammar', 'Madeleine van Zuylen', 'Field Cady']",2019,10.18653/v1/N19-1361
10.18653/v1/W19-5034,ScispaCy: Fast and Robust Models for Biomedical Natural Language Processing,ReferenceOfReference,"['Mark Neumann', 'Daniel King', 'Iz Beltagy', 'Bridger Waleed Ammar']",2019,10.18653/v1/W19-5034
10.1093/bioinformatics/btz682,BioBERT: a pre-trained biomedical language representation model for biomedical text mining,ReferenceOfReference,"['Jinhyuk Lee', 'WonJin Yoon', 'Sungdong Kim', 'Donghyeon Kim', 'Sunkyu Kim', 'Chan Ho So', 'Jaewoo Kang']",2019,10.1093/bioinformatics/btz682
10.1186/s12859-019-2813-6,CollaboNet: collaboration of deep neural networks for biomedical named entity recognition,ReferenceOfReference,"['WonJin Yoon', 'Chan Ho So', 'Jinhyuk Lee', 'Jaewoo Kang']",2018,10.1186/s12859-019-2813-6
10.18653/v1/D18-1360,"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction",ReferenceOfReference,"['Yi Luan', 'Luheng He', 'Mari Ostendorf', 'Hannaneh Hajishirzi']",2018,10.18653/v1/D18-1360
10.1186/s12859-019-2604-0,From POS tagging to dependency parsing for biomedical event extraction,ReferenceOfReference,"['Dat Quoc Nguyen', 'Karin M. Verspoor']",2018,10.1186/s12859-019-2604-0
10.1162/tacl_a_00028,Measuring the Evolution of a Scientific Field through Citation Frames,ReferenceOfReference,"['David Jurgens', 'Srijan Kumar', 'Raine Hoover', 'Daniel A. McFarland', 'Dan Jurafsky']",2018,10.1162/tacl_a_00028
10.18653/v1/P18-1019,"A Corpus with Multi-Level Annotations of Patients, Interventions and Outcomes to Support Language Processing for Medical Literature",ReferenceOfReference,"['Benjamin E. Nye', 'Junyi Jessy Li', 'Roma Patel', 'Yinfei Yang', 'I. Marshall', 'A. Nenkova', 'Byron C. Wallace']",2018,10.18653/v1/P18-1019
10.18653/v1/N18-3011,Construction of the Literature Graph in Semantic Scholar,ReferenceOfReference,"['Bridger Waleed Ammar', 'Dirk Groeneveld', 'Chandra Bhagavatula', 'Iz Beltagy', 'Miles Crawford', 'Doug Downey', 'Jason Dunkelberger', 'Ahmed Elgohary', 'Sergey Feldman', 'Vu A. Ha', 'Rodney Michael Kinney', 'Sebastian Kohlmeier', 'Kyle Lo', 'Tyler C. Murray', 'Hsu-Han Ooi', 'Matthew E. Peters', 'Joanna L. Power', 'Sam Skjonsberg', 'Lucy Lu Wang', 'Christopher Wilhelm', 'Zheng Yuan', 'Madeleine van Zuylen', 'Oren Etzioni']",2018,10.18653/v1/N18-3011
10.18653/v1/W18-2501,AllenNLP: A Deep Semantic Natural Language Processing Platform,ReferenceOfReference,"['Matt Gardner', 'Joel Grus', 'Mark Neumann', 'Oyvind Tafjord', 'Pradeep Dasigi', 'Nelson F. Liu', 'Matthew E. Peters', 'Michael Schmitz', 'Luke Zettlemoyer']",2018,10.18653/v1/W18-2501
10.18653/v1/N18-1202,Deep Contextualized Word Representations,ReferenceOfReference,"['Matthew E. Peters', 'Mark Neumann', 'Mohit Iyyer', 'Matt Gardner', 'Christopher Clark', 'Kenton Lee', 'Luke Zettlemoyer']",2018,10.18653/v1/N18-1202
10.18653/v1/P18-1031,Universal Language Model Fine-tuning for Text Classification,ReferenceOfReference,"['Jeremy Howard', 'Sebastian Ruder']",2018,10.18653/v1/P18-1031
10.18653/v1/D17-1035,Reporting Score Distributions Makes a Difference: Performance Study of LSTM-networks for Sequence Tagging,ReferenceOfReference,"['Nils Reimers', 'Iryna Gurevych']",2017,10.18653/v1/D17-1035
10.1093/database/baw068,BioCreative V CDR task corpus: a resource for chemical disease relation extraction,ReferenceOfReference,"['Jiao Li', 'Yueping Sun', 'Robin J. Johnson', 'D. Sciaky', 'Chih-Hsuan Wei', 'Robert Leaman', 'A. P. Davis', 'C. Mattingly', 'Thomas C. Wiegers', 'Zhiyong Lu']",2016,10.1093/database/baw068
10.1038/sdata.2016.35,"MIMIC-III, a freely accessible critical care database",ReferenceOfReference,"['Alistair E. W. Johnson', 'T. Pollard', 'Lu Shen', 'Li-wei H. Lehman', 'M. Feng', 'M. Ghassemi', 'Benjamin Moody', 'Peter Szolovits', 'L. Celi', 'R. Mark']",2016,10.1038/sdata.2016.35
10.18653/v1/P16-1101,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,ReferenceOfReference,"['Xuezhe Ma', 'E. Hovy']",2016,10.18653/v1/P16-1101
10.1093/database/bav123,ChemProt-3.0: a global chemical biology diseases mapping,ReferenceOfReference,"['J. Kringelum', 'S. K. Kjærulff', 'S. Brunak', 'O. Lund', 'Tudor I. Oprea', 'O. Taboureau']",2016,10.1093/database/bav123
10.1145/2740908.2742839,An Overview of Microsoft Academic Service (MAS) and Applications,ReferenceOfReference,"['Arnab Sinha', 'Zhihong Shen', 'Yang Song', 'Hao Ma', 'Darrin Eide', 'B. Hsu', 'Kuansan Wang']",2015,10.1145/2740908.2742839
10.1016/j.jbi.2013.12.006,NCBI disease corpus: A resource for disease name recognition and concept normalization,ReferenceOfReference,"['R. Dogan', 'Robert Leaman', 'Zhiyong Lu']",2014,10.1016/j.jbi.2013.12.006
10.1186/1471-2105-12-S2-S5,Automatic classification of sentences to support Evidence Based Medicine,ReferenceOfReference,"['Su Nam Kim', 'David Martínez', 'L. Cavedon', 'Lars Yencken']",2011,10.1186/1471-2105-12-S2-S5
10.3115/1567594.1567610,Introduction to the Bio-entity Recognition Task at JNLPBA,ReferenceOfReference,"['Nigel Collier', 'Jin-Dong Kim']",2004,10.3115/1567594.1567610
10.1093/BIOINFORMATICS/BTG1023,GENIA corpus - a semantically annotated corpus for bio-textmining,ReferenceOfReference,"['Jin-Dong Kim', 'Tomoko Ohta', 'Yuka Tateisi', 'Junichi Tsujii']",2003,10.1093/BIOINFORMATICS/BTG1023
10.18653/v1/N19-1423,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,ReferenceOfReference,"['Jacob Devlin', 'Ming-Wei Chang', 'Kenton Lee', 'Kristina Toutanova']",2019,10.18653/v1/N19-1423
